Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,321.887504,-117.936392,90.0,bottom
C2,100nF,C_0402_1005Metric,322.610312,-130.036392,180.0,bottom
C3,100nF,C_0402_1005Metric,326.887504,-115.223892,90.0,bottom
C4,10uF,C_0402_1005Metric,321.070312,-74.8725,0.0,bottom
C5,1uF,C_0402_1005Metric,320.839416,-117.93975,90.0,bottom
C6,100nF,C_0402_1005Metric,317.960312,-124.7825,180.0,bottom
C7,100nF,C_0402_1005Metric,325.837504,-115.223892,90.0,bottom
C8,100nF,C_0402_1005Metric,329.804522,-125.363102,-45.0,bottom
C9,100nF,C_0402_1005Metric,322.610312,-131.056392,180.0,bottom
C10,100nF,C_0402_1005Metric,319.167504,-120.733892,180.0,bottom
C11,100nF,C_0402_1005Metric,319.167504,-119.736392,180.0,bottom
C12,100nF,C_0402_1005Metric,329.947192,-119.933892,0.0,bottom
C13,1uF,C_0402_1005Metric,321.070312,-68.5325,0.0,bottom
C14,1uF,C_0402_1005Metric,321.095312,-73.7225,180.0,bottom
C15,22pF,C_0402_1005Metric,328.22996,-134.47854,45.0,bottom
C16,22pF,C_0402_1005Metric,324.55996,-134.81854,135.0,bottom
C17,100nF,C_0402_1005Metric,332.12062,-113.5625,90.0,bottom
C18,100nF,C_0402_1005Metric,65.930312,-61.5225,180.0,bottom
C19,100nF,C_0402_1005Metric,75.980312,-62.6725,90.0,bottom
C20,100nF,C_0402_1005Metric,61.460312,-58.2425,180.0,bottom
C21,100nF,C_0402_1005Metric,56.590312,-68.3225,-90.0,bottom
C22,100nF,C_0402_1005Metric,69.180312,-74.2125,180.0,bottom
C23,100nF,C_0402_1005Metric,71.050312,-72.9325,0.0,bottom
C24,100nF,C_0402_1005Metric,42.140312,-78.8425,0.0,bottom
C25,100nF,C_0402_1005Metric,68.250312,-78.9125,0.0,bottom
C26,100nF,C_0402_1005Metric,94.300312,-78.8425,0.0,bottom
C27,100nF,C_0402_1005Metric,120.400312,-78.8725,0.0,bottom
C28,100nF,C_0402_1005Metric,146.440312,-78.8425,0.0,bottom
C29,100nF,C_0402_1005Metric,172.530312,-78.8725,0.0,bottom
C30,100nF,C_0402_1005Metric,198.590312,-78.8725,0.0,bottom
C31,100nF,C_0402_1005Metric,224.690312,-78.8425,0.0,bottom
C32,100nF,C_0402_1005Metric,250.740312,-78.8525,0.0,bottom
C33,100nF,C_0402_1005Metric,276.810312,-78.8525,0.0,bottom
C34,100nF,C_0402_1005Metric,302.890312,-78.8425,0.0,bottom
C35,100nF,C_0402_1005Metric,330.290312,-78.8425,0.0,bottom
C36,100nF,C_0402_1005Metric,355.030312,-78.8425,0.0,bottom
C37,100nF,C_0402_1005Metric,381.100312,-78.8425,0.0,bottom
C38,100nF,C_0402_1005Metric,380.360312,-96.9925,180.0,bottom
C39,100nF,C_0402_1005Metric,380.022187,-116.0625,180.0,bottom
C40,100nF,C_0402_1005Metric,380.930312,-135.1125,180.0,bottom
