Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,272.327192,-57.2775,90.0,bottom
C2,100nF,C_0402_1005Metric,273.05,-69.3775,0.0,bottom
C3,100nF,C_0402_1005Metric,277.327192,-54.565,90.0,bottom
C4,10uF,C_0402_1005Metric,273.83,-9.57,180.0,bottom
C5,1uF,C_0402_1005Metric,271.279104,-57.280858,90.0,bottom
C6,100nF,C_0402_1005Metric,268.4,-64.123608,0.0,bottom
C7,100nF,C_0402_1005Metric,276.277192,-54.565,90.0,bottom
C8,100nF,C_0402_1005Metric,279.72,-63.1,90.0,bottom
C9,100nF,C_0402_1005Metric,273.05,-70.3975,0.0,bottom
C10,100nF,C_0402_1005Metric,269.607192,-60.075,0.0,bottom
C11,100nF,C_0402_1005Metric,269.607192,-59.0775,0.0,bottom
C12,100nF,C_0402_1005Metric,279.72,-59.61,90.0,bottom
C13,1uF,C_0402_1005Metric,273.83,-3.23,180.0,bottom
C14,1uF,C_0402_1005Metric,273.855,-8.42,0.0,bottom
C15,22pF,C_0402_1005Metric,278.669648,-73.819648,135.0,bottom
C16,22pF,C_0402_1005Metric,274.999648,-74.159648,45.0,bottom
C17,100nF,C_0402_1005Metric,284.95,-47.39,90.0,bottom
C18,100nF,C_0402_1005Metric,285.2,-64.39,90.0,bottom
C19,100nF,C_0402_1005Metric,18.69,3.78,0.0,bottom
C20,100nF,C_0402_1005Metric,28.74,2.63,90.0,bottom
C21,100nF,C_0402_1005Metric,14.22,7.06,0.0,bottom
C22,100nF,C_0402_1005Metric,9.35,-3.02,270.0,bottom
C23,100nF,C_0402_1005Metric,21.94,-8.91,0.0,bottom
C24,100nF,C_0402_1005Metric,23.81,-7.63,180.0,bottom
C25,100nF,C_0402_1005Metric,-5.1,-13.54,180.0,bottom
C26,100nF,C_0402_1005Metric,21.01,-13.61,180.0,bottom
C27,100nF,C_0402_1005Metric,47.06,-13.54,180.0,bottom
C28,100nF,C_0402_1005Metric,73.16,-13.57,180.0,bottom
C29,100nF,C_0402_1005Metric,99.2,-13.54,180.0,bottom
C30,100nF,C_0402_1005Metric,125.29,-13.57,180.0,bottom
C31,100nF,C_0402_1005Metric,151.35,-13.57,180.0,bottom
C32,100nF,C_0402_1005Metric,177.45,-13.54,180.0,bottom
C33,100nF,C_0402_1005Metric,203.5,-13.55,180.0,bottom
C34,100nF,C_0402_1005Metric,229.57,-13.55,180.0,bottom
C35,100nF,C_0402_1005Metric,255.65,-13.54,180.0,bottom
C36,100nF,C_0402_1005Metric,283.05,-13.54,180.0,bottom
C37,100nF,C_0402_1005Metric,307.79,-13.54,180.0,bottom
C38,100nF,C_0402_1005Metric,333.86,-13.54,180.0,bottom
C39,100nF,C_0402_1005Metric,333.12,-31.69,0.0,bottom
C40,100nF,C_0402_1005Metric,332.781875,-50.76,0.0,bottom
C41,100nF,C_0402_1005Metric,333.69,-69.81,0.0,bottom
C42,100nF,C_0402_1005Metric,333.81,-92.12,0.0,bottom
C43,100nF,C_0402_1005Metric,307.74,-92.11,0.0,bottom
C44,100nF,C_0402_1005Metric,283.69,-91.04,180.0,bottom
C45,100nF,C_0402_1005Metric,257.63,-91.04,180.0,bottom
C46,100nF,C_0402_1005Metric,230.81,-91.04,180.0,bottom
C47,100nF,C_0402_1005Metric,203.99,-91.04,180.0,bottom
C48,100nF,C_0402_1005Metric,177.88,-91.04,180.0,bottom
C49,100nF,C_0402_1005Metric,150.36,-91.04,180.0,bottom
C50,100nF,C_0402_1005Metric,123.56,-91.04,180.0,bottom
C51,100nF,C_0402_1005Metric,96.73,-91.04,180.0,bottom
C52,100nF,C_0402_1005Metric,67.9,-92.12,0.0,bottom
C53,100nF,C_0402_1005Metric,49.04,-91.04,180.0,bottom
C54,100nF,C_0402_1005Metric,20.79,-92.12,0.0,bottom
C55,100nF,C_0402_1005Metric,-3.09,-91.04,180.0,bottom
C56,100nF,C_0402_1005Metric,-5.08,-73.07,180.0,bottom
C57,100nF,C_0402_1005Metric,-5.1,-54.02,180.0,bottom
C58,100nF,C_0402_1005Metric,-5.11,-34.97,180.0,bottom
D1,D,D_SOD-123,3.175,-0.79375,90.0,bottom
D2,D,D_SOD-123,41.275,-0.79375,90.0,bottom
D3,D,D_SOD-123,60.325,-0.79375,90.0,bottom
D4,D,D_SOD-123,79.375,-0.79375,90.0,bottom
D5,D,D_SOD-123,98.425,-0.79375,90.0,bottom
D6,D,D_SOD-123,127.0,-0.79375,90.0,bottom
D7,D,D_SOD-123,146.05,-0.79375,90.0,bottom
D8,D,D_SOD-123,165.1,-0.79375,90.0,bottom
D9,D,D_SOD-123,184.15,-0.79375,90.0,bottom
D10,D,D_SOD-123,212.725,-0.79375,90.0,bottom
D11,D,D_SOD-123,231.775,-0.79375,90.0,bottom
D12,D,D_SOD-123,250.825,-0.79375,90.0,bottom
D13,D,D_SOD-123,269.875,-0.79375,90.0,bottom
D14,D,D_SOD-123,293.6875,-0.79375,90.0,bottom
